group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
client_side,1. reward request 128 ads catalog),,,,467022102.0,ns,1
client_side,1. reward request 128 ads catalog),,,,966826850.0,ns,2
client_side,1. reward request 128 ads catalog),,,,1762735731.0,ns,3
client_side,1. reward request 128 ads catalog),,,,1985531609.0,ns,4
client_side,1. reward request 128 ads catalog),,,,2408233762.0,ns,5
client_side,1. reward request 128 ads catalog),,,,3013311593.0,ns,6
client_side,1. reward request 128 ads catalog),,,,3412997857.0,ns,7
client_side,1. reward request 128 ads catalog),,,,4180416606.0,ns,8
client_side,1. reward request 128 ads catalog),,,,6085552992.0,ns,9
client_side,1. reward request 128 ads catalog),,,,6756910125.0,ns,10
